The last match Check6 Quit 16 11 5th January 2015
eBettle  1355.79 57
DamageControl  1183.18 6
nerdRage  1212.59 136
NeckBreak  1142.5 2
AGENT  1129.46 19
xqR  1226.12 5
1hp  1158.69 1
SoF  1336.23 6
CSGOBESTPOT.com  1161.6 2
GdanskLions  1095.68 8
Check6  1161.02 12
BadMonkey  1282.81 5
Reaction  1067.11 3
Colombia  1127.69 5
MWNL  1201.62 3
GamesAcademy  1362.39 50
LGB  1304.94 180
Mastermind  1210.81 4
SkinsVault  1115.31 3
SYNRGY  1092.01 11
embrace  1291 10
BarelyPositive  1101.79 5
Dethrone  1103.01 2
Drake2003  1112.84 4
WRTP  1132.22 3
UnitedKingdom  1213.64 9
Kyrgyzstan  1223.59 12
LDLCWhite  1298.9 115
exceL  1295.82 6
EYESONU  1072.59 16
Play2Win  1081.55 5
eSuba  1267.58 16
Trasgo.netStaff  1053.27 4
LOSMOUCHACHOS  1177.34 2
ngomg!  1192.29 1
HLTV.orgStaff  1494.47 29
Georgia  1160.22 9
LGBfe  1110.34 27
BitterSweetGG  1114.33 2
NONAMERS  1095.91 2
Clan-MystikStaff  1074.52 4
GUS-Gaming  1120 3
ProjectSkyline  1054.1 6
WildSource  1222.83 6
Lions  1198.3 34
Quit  1041.65 10
VingeN  1252.26 8
Crystallize  1112.46 2
USA  1219.36 12
ex-eLevate  1236.66 19
Emc  1220.45 1
Estonia  1182.05 6
Philippines  1201.78 2
gamENERGY  1267.78 3
Exertus  1241.07 11
Menace  1117.79 6
RvN  1148.5 2
Tectonic  1261.1 10
etoile  1243.11 1
GameShowStaff  1156.87 28
Paranoia  1069.87 7
AliGon  1298.82 24
UberNoobs  1160.88 3
Dobry&Gaming  1415.26 81
OverGaming  1153.87 42
iDomina  984.603 10
SententiaMortis  1126.02 8
KDDA  1158.54 2
3v  1040.68 6
BlackRavens  1169.83 2
Quintic  1071.05 6
KOWABUNGA  1157.81 1
